status,cite_key,title,journal,year,month_day,type,doi,url,title_native,journal_native,keywords
"","ART003296700","The Interpretive Convergence Theory of Law","Korean Journal of Legal Philosophy","2025","Dec. 31.","journal-article","","https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART003296700","법의 해석적 수렴 이론","법철학연구","Interpretive Convergence Theory of Law; Legal Positivism; Interpretivism; Legal Normativity; Emergentism; uptake"
"","ART003080283","The Validity of Law and the Radbruch Formula","Korean Journal of Legal Philosophy","2024","Apr. 30.","journal-article","","https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART003080283","법의 유효성 문제와 라드브루흐 공식","법철학연구","Gustav Radbruch; Radbruch Formula; Validity of Law; Law and Morality; Reason-Based Account; Legal Obligation"
"","ART002937726","Legal Education in Undergraduate GE Courses","Korean Journal of Law & Society","2023","Feb. 28.","journal-article","","https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002937726","학부 교양 교과로서의 법교육","법과사회","Liberal Education; General Education; Education on Law for Undergraduates; Law School"
"","ART002912830","An Inconvenient Truth of Weak AI: Fear of the Predictable, Not Fear of the uneXplainable","The Korean Journal of Ethics","2022","Dec. 31.","journal-article","10.38199/KJE.11.6","https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002912830","약인공지능 시대의 윤리적 위기: 개별화된 예측 정보의 증가로 인한 상호협력 기반의 상실","윤리학","weak AI; mutual ignorance; credit society; personalized information; mutual coorperation; explainability; accountability; trustworthy AI"
"","ART002923254","Some Misconceptions about the Inner Morality of Law","Korean Journal of Legal Philosophy","2022","Dec. 31.","journal-article","","https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002923254","풀러의 법의 내적 도덕성에 대한 오해","법철학연구","Lon Fuller; inner morality of law; formalism; functionalism; procedural natural law theory; the rule of law"
"","ART002921497","Development of a Writing Ability Diagnosis System for University First-year Students － The Seoul National University Essay Examination","The Korean Journal of Literacy Research","2022","Dec. 30.","journal-article","","https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002921497","대학 신입생의 글쓰기 능력 진단 체제 개발 연구 - 서울대학교 신입생 글쓰기 평가를 중심으로","리터러시 연구","college writing; writing test; first-year essay examination; writing ability diagnosis test; test development"
"","ART002753846","Infection as Bad Luck: The Right and Responsibility of Autonomous Agents in Pandemics","Korean Journal of Legal Philosophy","2021","Aug. 31.","journal-article","","https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002753846","불운으로서의 감염: 팬데믹 상황에서 자율적 행위자의 권리와 책임","법철학연구","Liberalism; Luck Egalitarianism; Vector Argument; COVID-19; Pandemic; Sonderopfertheorie"
"","ART002714278","A Critical Analysis of Dokyun Kim’s Theory of Justice in Korea","Korean Journal of Legal Philosophy","2021","Apr. 30.","journal-article","","https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002714278","『한국 사회에서 정의란 무엇인가』에 대한 비판적 검토 ― 정의의 원천으로서의 헌법, 그리고 제도선행적 응분원칙의 이해에 대한 의문을 중심으로―","법철학연구","Justice; Institutional theory of desert; Rawls’ Priority Problem; Samuel Scheffler; Theory of Justice in Korea"
"","ART002584158","Justification of a Moral Claim to Respect Human Dignity","Korean Journal of Legal Philosophy","2020","Apr. 30.","journal-article","10.22286/kjlp.2020.23.1.002","https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002584158","인간존엄 존중 규범의 정당화","법철학연구","Human Dignity; Strong Version of Dignitarianism; Justification; Legal Dignitarianism"
"","ART002495391","Legal expressivism and the nature of expressive harm","Korean Journal of Legal Philosophy","2019","Aug. 30.","journal-article","10.22286/kjlp.2019.22.2.003","https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002495391","법적 표현주의와 표현적 해악의 본성","법철학연구","Legal Expressivism; legal statements and their meanings; expressive harm; legitimacy"
"","ART002428217","Kant’s Conception of ‘Recht’","Korean Journal of Legal Philosophy","2018","Dec.","journal-article","10.22286/kjlp.2018.21.3.003","https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002428217","칸트의 법(Recht) 관념―『법이론』에 등장하는 ‘외적 자유’ 개념을 중심으로―","법철학연구","Kant; The Metaphysics of Morals; the Doctrine of Right; Rechtslehre; law-rights-correctness; ‘Recht’ & ‘recht’; translation"
"","ART002344173","Understanding human dignity as a topological concept","Korean Journal of Legal Philosophy","2018","Apr.","journal-article","10.22286/kjlp.2018.21.1.008","https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002344173","위상적 개념으로서의 인간존엄","법철학연구","human dignity; dignitas; high status; elevation of morality; topological concept; Kant; Jeremy Waldron; Oliver Sensen"
